,City,Overall Score,Employment,Startup,Tourism,Housing,Transport,Health,Food,Internet Speed,University,Access to Contraception,Gender Equality,Immigration Tolerance,LGBT Friendly,Nightscene,Beer,Festival,lat,lon
0,Amsterdam,108.8,4.0,8.9,8.4,1.7,8.0,7.0,4.5,7.1,6.9,5.6,8.0,8.0,10.0,7.3,5.2,8.2,52.3727598,4.8936041
1,Berlin,103.9,2.3,7.1,8.0,5.9,7.5,5.0,7.1,7.5,5.2,2.6,9.0,6.0,9.1,10.0,7.0,4.6,52.5170365,13.3888599
2,Munich,102.7,9.4,9.2,6.3,3.4,9.5,5.0,5.8,3.8,7.4,2.6,9.0,6.0,9.0,7.6,6.6,2.1,48.1371079,11.5753822
3,Lisbon,102.6,1.0,7.6,7.0,7.6,8.3,7.4,8.8,2.8,4.3,4.2,5.8,7.3,7.3,6.0,8.9,8.3,38.7077507,-9.1365919
4,Antwerp,101.1,6.2,4.4,2.7,7.0,7.8,5.5,2.7,8.3,8.4,7.2,6.5,6.6,6.1,8.0,6.1,7.6,51.2211097,4.3997081
5,Barcelona,101.0,0.6,6.9,8.6,6.5,7.1,8.3,6.7,6.6,7.0,2.2,6.0,7.6,9.2,6.0,7.5,4.2,41.3828939,2.1774322
6,Lyon,100.8,2.2,5.5,7.4,4.7,9.8,10.0,1.7,8.0,9.7,8.5,7.6,3.0,6.7,7.6,1.7,6.7,45.7578137,4.8320114
7,Cologne,100.75,6.6,4.8,0.9,6.6,8.8,5.0,7.3,3.7,8.2,2.6,9.0,6.0,8.8,9.75,6.3,6.4,50.938361,6.959974
8,Paris,100.7,1.7,8.5,9.7,1.9,9.7,10.0,1.4,7.4,8.1,8.5,7.6,3.0,7.7,10.0,1.0,4.5,48.8566969,2.3514616
9,Vancouver,100.5,6.3,9.5,7.3,1.6,7.9,4.25,3.2,4.2,9.1,8.0,5.4,9.25,9.4,1.0,4.5,9.6,49.2608724,-123.1139529
10,Lille,100.1,1.1,7.5,4.6,6.0,9.2,10.0,5.2,5.3,9.9,8.5,7.6,3.0,3.7,7.6,2.2,8.7,50.6365654,3.0635282
11,Zurich,99.7,8.3,8.3,4.3,0.9,6.9,5.75,0.1,8.2,8.8,7.0,9.15,7.0,5.6,9.0,0.6,9.8,47.3744489,8.5410422
12,Valencia,99.0,0.4,3.2,6.6,9.3,4.5,8.3,8.3,8.6,7.2,2.2,6.0,7.6,7.4,8.5,8.0,2.9,39.4697065,-0.3763353
13,The Hague,98.7,3.1,4.3,2.1,4.2,8.1,7.0,5.3,6.9,8.3,5.6,8.0,8.0,9.7,4.0,5.0,9.1,52.0799838,4.3113461
14,Montreal,98.5,3.4,7.7,4.4,6.9,5.7,4.25,3.0,4.3,5.6,8.0,5.4,9.25,8.7,9.5,4.3,8.1,45.4972159,-73.6103642
15,London,96.95,5.4,8.4,9.9,1.1,6.7,6.5,6.5,3.4,5.5,9.5,7.0,5.0,8.2,9.75,2.1,2.0,51.5073219,-0.1276474
16,Nantes,96.5,3.0,5.8,2.4,6.4,5.6,10.0,6.1,8.4,4.3,8.5,7.6,3.0,5.8,7.6,2.6,9.4,47.2186371,-1.5541362
17,Rotterdam,96.5,3.2,5.1,1.2,7.4,9.4,7.0,7.0,5.9,4.3,5.6,8.0,8.0,5.5,6.0,5.1,7.8,51.9228958,4.4631727
18,Prague,96.15,8.8,5.9,8.8,8.2,9.1,1.9,9.0,9.5,4.3,4.0,1.8,2.2,1.3,9.75,9.2,2.4,50.0874654,14.4212535
19,Helsinki,95.95,4.2,7.3,5.7,3.1,9.6,4.0,4.2,6.7,4.3,7.6,10.0,9.75,8.0,3.0,1.1,7.4,60.1674881,24.9427473
20,Manchester,95.5,4.1,2.7,5.3,7.2,5.2,7.0,7.4,5.2,9.6,9.5,7.0,5.0,5.3,4.0,4.7,6.3,53.4794892,-2.2451148
21,Bordeaux,94.7,1.9,6.1,5.2,5.4,7.7,10.0,2.4,3.5,9.8,8.5,7.6,3.0,5.7,8.5,2.5,6.9,44.841225,-0.5800364
22,Auckland,94.5,7.1,7.8,6.0,2.9,7.2,2.5,3.9,7.0,4.3,4.8,9.3,9.5,9.5,3.0,2.0,7.7,-36.852095,174.7631803
23,Toronto,93.1,3.7,8.8,6.7,2.8,5.1,4.25,5.7,6.1,7.6,8.0,5.4,9.25,8.1,1.0,3.8,6.8,43.6534817,-79.3839347
24,Bristol,92.5,5.8,5.3,0.2,5.6,0.3,6.5,6.6,5.7,9.4,9.5,7.0,5.0,8.4,7.0,4.0,6.2,51.4538022,-2.5972985
25,Oslo,92.5,9.5,6.2,6.8,2.3,10.0,7.6,0.7,9.3,4.3,5.3,9.75,8.25,6.0,1.0,0.1,5.4,59.9133301,10.7389701
26,Marseille,91.8,1.5,2.8,5.0,6.2,4.6,10.0,5.6,9.6,6.8,8.5,7.6,3.0,6.2,6.0,2.4,6.0,43.2961743,5.3699525
27,Madrid,91.6,0.7,5.2,7.9,4.5,8.2,8.3,6.8,4.1,7.1,2.2,6.0,7.6,8.3,6.0,6.9,1.8,40.4167047,-3.7035825
28,Vienna,91.6,4.7,3.8,8.3,4.9,8.7,8.0,4.1,8.7,4.3,4.4,2.8,6.4,3.4,6.0,5.8,7.3,48.2083537,16.3725042
29,Glasgow,90.8,2.8,4.2,4.5,8.1,3.4,6.5,7.2,5.4,9.2,9.5,7.0,5.0,4.5,1.0,4.6,7.9,55.8609825,-4.2488787
30,Birmingham,90.5,2.0,3.1,2.9,7.8,1.7,6.5,8.0,5.8,6.4,9.5,7.0,5.0,7.6,6.0,6.0,5.2,52.4796992,-1.9026911
31,Hamburg,90.35,8.1,4.1,1.8,4.8,5.8,5.0,4.3,7.6,6.7,2.6,9.0,6.0,2.9,9.25,6.5,5.9,53.5437641,10.0099133
32,Dublin,90.15,4.4,8.7,7.8,2.6,4.3,6.0,6.2,9.0,4.3,2.0,9.45,10.0,4.9,1.0,3.0,6.5,53.3497645,-6.2602732
33,Montpellier,89.7,1.2,4.6,3.1,5.7,6.4,10.0,1.9,7.8,9.5,8.5,7.6,3.0,2.1,7.6,2.3,8.4,43.6112422,3.8767337
34,Utrecht,88.6,5.6,6.0,0.3,4.4,1.0,7.0,5.4,7.9,4.3,5.6,8.0,8.0,9.3,4.0,2.9,8.9,52.0949753,5.109708
35,Ottawa,88.2,5.0,6.8,4.9,4.6,1.5,4.25,6.3,6.2,8.6,8.0,5.4,9.25,3.2,0.6,4.4,9.2,45.421106,-75.690308
36,Frankfurt,87.5,7.9,4.5,6.9,4.1,7.3,5.0,3.6,0.3,7.3,2.6,9.0,6.0,7.9,6.0,5.9,3.2,50.1106444,8.6820917
37,Graz,87.25,7.8,0.2,0.6,6.7,4.9,8.0,4.6,7.7,4.3,4.4,2.8,6.4,4.2,9.25,6.4,9.0,47.0708678,15.4382786
38,Brussels,86.5,1.3,5.4,5.6,5.1,8.9,5.5,3.8,4.4,6.3,7.2,6.5,6.6,2.6,7.6,4.8,4.9,50.8465573,4.351697
39,Porto,86.5,0.9,7.0,3.2,9.0,6.5,7.4,8.9,1.7,4.3,4.2,5.8,7.3,3.5,1.0,8.8,7.0,41.1494512,-8.6107884
40,Austin,86.2,8.4,9.7,4.7,2.0,2.7,3.0,2.2,10.0,8.7,6.0,4.0,4.0,3.3,3.0,5.7,8.8,30.2711286,-97.7436995
41,Groningen,85.6,2.7,1.1,0.1,5.8,0.1,7.0,6.0,9.4,4.3,5.6,8.0,8.0,8.9,4.0,5.3,9.3,53.2190652,6.5680077
42,Geneva,85.4,2.6,8.0,1.1,0.6,5.4,5.75,0.2,9.8,10.0,7.0,9.15,7.0,4.8,4.0,0.5,9.5,46.2017559,6.1466014
43,Edinburgh,84.5,7.7,5.6,2.8,4.3,2.0,6.5,5.9,6.0,8.5,9.5,7.0,5.0,4.6,1.0,3.7,4.4,55.9533456,-3.1883749
44,San Francisco,84.0,6.7,10.0,7.5,0.1,9.9,3.0,0.3,1.0,9.3,6.0,4.0,4.0,9.8,3.0,1.4,8.0,37.7790262,-122.4199061
45,Athens,83.55,0.2,6.5,5.4,9.7,8.5,7.2,7.7,6.8,4.3,0.8,1.2,1.8,3.0,8.75,6.2,5.5,37.9839412,23.7283052
46,Bangkok,82.7,10.0,0.9,10.0,7.1,3.5,2.0,6.4,3.1,4.3,9.0,2.0,0.7,6.4,6.5,8.6,2.2,13.7542529,100.493087
47,Seville,82.5,0.1,1.5,7.2,8.7,3.2,8.3,8.4,1.5,4.3,2.2,6.0,7.6,5.2,7.0,7.9,3.4,37.3886303,-5.9953403
48,Denver,82.1,7.3,9.3,3.8,1.8,5.5,3.0,1.6,9.7,7.7,6.0,4.0,4.0,6.9,0.6,5.6,5.3,39.7392364,-104.9848623
49,Granada,82.1,0.3,0.3,5.5,9.4,2.2,8.3,8.1,1.9,4.3,2.2,6.0,7.6,2.3,7.0,8.1,8.6,37.183054,-3.6021928
50,Buenos Aires,81.75,2.9,0.6,3.5,8.3,3.7,0.8,7.5,2.1,4.3,5.0,5.6,6.8,9.9,8.25,8.2,4.3,-34.6075682,-58.4370894
51,Portland,81.7,5.9,9.0,3.9,1.3,6.0,3.0,1.8,8.9,8.0,6.0,4.0,4.0,7.1,3.0,4.2,5.6,45.5202471,-122.6741949
52,Toulouse,81.2,2.1,3.7,4.1,6.1,8.6,10.0,2.6,5.0,4.3,8.5,7.6,3.0,6.3,7.6,1.6,0.1,43.6044622,1.4442469
53,Budapest,80.75,6.0,3.9,6.4,9.1,6.6,1.1,9.3,4.9,4.3,3.4,0.85,1.6,0.8,6.0,9.3,7.2,47.4983815,19.0404707
54,Bucharest,80.45,9.6,4.0,1.0,9.6,8.4,0.7,9.9,8.8,4.3,1.75,1.9,0.8,0.5,6.0,9.1,4.1,44.4361414,26.1027202
55,Brugge,80.3,9.7,0.5,2.6,5.3,0.2,5.5,4.4,9.9,4.3,7.2,6.5,6.6,1.9,0.3,5.4,10.0,51.2085526,3.226772
56,Stockholm,80.25,4.5,6.4,3.6,2.5,7.6,4.75,1.3,5.1,5.7,1.25,9.6,8.75,9.6,4.0,0.8,4.8,59.3251172,18.0710935
57,Seattle,78.9,7.6,9.8,6.1,0.7,5.3,3.0,0.9,9.1,7.5,6.0,4.0,4.0,6.8,1.0,3.6,3.5,47.6038321,-122.3300624
58,Copenhagen,78.8,4.9,8.1,2.5,1.4,4.8,3.25,3.3,7.3,4.3,2.4,7.3,8.5,5.0,8.75,0.9,6.1,55.6867243,12.5700724
59,Los Angeles,78.8,3.9,9.4,8.1,1.0,2.3,3.0,2.1,9.2,6.1,6.0,4.0,4.0,7.5,5.0,3.4,3.8,34.0536909,-118.242766
60,Cork,78.45,3.3,7.4,2.3,5.2,0.8,6.0,6.9,2.7,4.3,2.0,9.45,10.0,4.4,0.6,3.2,9.9,51.898627,-8.4705942
61,Kuala Lumpur,77.2,9.1,7.2,9.4,8.6,6.8,1.7,8.5,2.6,4.3,1.5,0.6,0.9,0.7,4.0,7.3,4.0,3.1516964,101.6942371
62,Innsbruck,77.0,9.3,1.7,1.3,5.5,3.1,8.0,4.8,6.4,4.3,4.4,2.8,6.4,2.2,3.0,6.7,7.1,47.2654296,11.3927685
63,New York City,76.6,5.3,9.1,9.5,0.2,6.1,3.0,0.6,6.5,6.2,6.0,4.0,4.0,5.1,7.0,1.3,2.7,40.7127281,-74.0060152
64,Brno,76.2,5.1,0.1,0.5,9.2,7.0,1.9,9.1,8.5,4.3,4.0,1.8,2.2,1.7,6.0,9.7,5.1,49.1922443,16.6113382
65,Melbourne,74.8,6.1,5.7,5.1,2.1,4.1,3.75,3.4,4.7,4.3,3.6,3.6,9.0,6.6,8.25,1.2,3.3,-37.8142176,144.9631608
66,Chicago,74.4,4.6,8.6,3.7,1.2,7.4,3.0,2.3,8.1,5.9,6.0,4.0,4.0,2.7,3.6,3.5,5.8,41.8755616,-87.6244212
67,Philadelphia,73.2,5.7,7.9,6.2,2.4,5.0,3.0,1.5,7.2,5.8,6.0,4.0,4.0,5.4,0.6,5.5,3.0,39.9527237,-75.1635262
68,Gothenburg,72.95,3.8,3.4,4.0,3.6,6.2,4.75,2.5,6.3,4.3,1.25,9.6,8.75,4.1,4.0,0.7,5.7,57.7072326,11.9670171
69,Monterrey,72.2,6.4,3.3,4.2,9.9,3.6,1.4,9.4,5.6,4.3,4.6,2.4,1.0,1.1,3.0,9.5,2.5,25.6802019,-100.3152586
70,Medellin,72.0,1.6,2.6,0.4,9.8,2.5,5.25,10.0,1.1,4.3,3.8,5.0,2.4,1.0,9.75,9.9,2.6,6.2443382,-75.573553
71,Bergen,71.8,7.5,1.4,2.0,4.0,2.6,7.6,0.8,4.8,4.3,5.3,9.75,8.25,3.8,1.0,0.2,8.5,60.3943055,5.3259192
72,Sao Paulo,71.8,2.4,2.2,4.8,8.0,2.1,0.6,7.8,3.2,4.4,7.4,1.6,2.8,7.0,7.6,8.5,1.4,-23.5506507,-46.6333824
73,Guadalajara,71.6,7.2,3.6,5.8,10.0,3.3,1.4,9.6,0.1,4.3,4.6,2.4,1.0,2.8,4.0,9.6,1.9,20.6720375,-103.3383962
74,Milan,71.35,3.5,6.3,8.7,3.7,9.3,9.0,2.9,2.4,7.8,1.0,3.0,3.25,0.2,4.0,2.7,3.6,45.4668,9.1905
75,Rio de Janeiro,70.75,6.9,1.2,1.6,6.8,3.0,0.6,7.6,1.2,4.9,7.4,1.6,2.8,7.8,8.75,7.7,0.9,-22.9110137,-43.2093727
76,Cape Town,70.65,0.5,8.2,1.7,7.3,0.5,0.1,8.7,0.5,4.3,4.2,8.0,3.75,1.8,3.0,8.4,9.7,-33.928992,18.417396
77,Mexico City,70.3,5.2,2.5,5.9,8.8,3.9,1.4,9.5,4.0,4.6,4.6,2.4,1.0,3.1,3.0,9.4,1.0,19.4326296,-99.1331785
78,Boston,70.0,7.0,9.9,3.0,0.3,9.0,3.0,1.2,3.0,7.9,6.0,4.0,4.0,5.9,0.6,1.5,3.7,42.3602534,-71.0582912
79,Beijing,69.3,9.9,2.4,7.7,3.2,4.2,0.2,7.9,1.8,6.0,10.0,1.0,0.5,0.1,4.0,10.0,0.4,39.9020668,116.718583
80,Taipei,68.4,8.7,3.5,9.2,5.0,6.3,0.4,1.0,2.3,4.3,7.8,1.0,0.4,3.9,3.3,9.0,2.3,25.0375198,121.5636796
81,Venice,67.85,1.8,1.8,8.2,7.9,1.8,9.0,5.1,2.9,4.3,1.0,3.0,3.25,4.3,3.0,3.9,6.6,45.4371908,12.3345898
82,Santiago,67.6,5.5,2.9,0.8,8.9,2.8,3.5,8.2,3.6,4.3,2.8,2.2,6.2,0.6,6.0,7.6,1.7,9.8694792,-83.7980749
83,Warsaw,67.6,4.3,5.0,1.5,8.5,5.9,1.6,9.7,4.5,4.3,0.6,5.2,1.2,1.5,4.0,8.3,1.5,52.2319581,21.0067249
84,Bogota,67.4,2.5,2.1,1.4,9.5,0.4,5.25,9.8,0.2,4.3,3.8,5.0,2.4,1.4,8.75,9.8,0.8,4.6533326,-74.083652
85,Sydney,67.15,6.8,6.7,7.1,0.8,1.3,3.75,3.5,1.6,5.0,3.6,3.6,9.0,8.5,1.0,1.8,3.1,-33.8548157,151.2164539
86,Canberra,65.65,8.9,0.4,1.9,2.2,0.6,3.75,4.7,3.3,8.9,3.6,3.6,9.0,4.7,1.0,4.1,5.0,-35.2975906,149.1012676
87,Bologna,65.35,4.8,2.3,3.4,7.7,1.1,9.0,4.9,2.2,9.0,1.0,3.0,3.25,2.4,1.0,2.8,7.5,44.4937577,11.3430308
88,Rome,64.95,1.4,2.0,9.3,3.8,4.4,9.0,4.0,4.6,6.6,1.0,3.0,3.25,0.4,4.5,4.9,2.8,41.8933203,12.4829321
89,Brisbane,64.85,6.5,4.9,3.3,3.0,1.9,3.75,5.0,2.0,5.4,3.6,3.6,9.0,6.5,2.0,3.1,1.3,-27.4689682,153.0234991
90,Tel Aviv,64.35,7.4,9.6,0.7,3.9,1.4,4.5,3.7,2.5,4.3,0.4,3.3,0.3,8.6,8.75,0.3,4.7,32.0852997,34.7818064
91,Seoul,62.6,8.6,1.6,9.1,2.7,4.7,1.5,0.4,5.5,4.3,3.0,0.3,2.6,3.6,6.0,7.1,1.6,37.5666791,126.9782914
92,Singapore,62.6,9.8,6.6,9.8,0.5,4.0,8.6,3.1,0.6,4.3,1.0,2.6,3.5,1.2,4.0,1.9,1.1,1.2904753,103.8520359
93,Perth,62.45,8.0,3.0,2.2,3.3,0.7,3.75,2.8,3.9,6.5,3.6,3.6,9.0,7.2,0.6,0.4,3.9,-31.9527121,115.8604796
94,Hong Kong,57.7,9.2,4.7,8.9,0.4,2.9,0.2,2.0,0.7,4.7,10.0,1.0,0.5,4.0,4.0,3.3,1.2,22.2793278,114.1628131
